City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Sechura,PE,2022-01-04 21:35:37,-5.5569,-80.8222,79.74,53,35,15.57
156,Ribeira Grande,PT,2022-01-04 21:35:37,38.5167,-28.7,61.2,67,20,5.75
157,Esperance,AU,2022-01-04 21:35:38,-33.8667,121.9,64.24,69,49,14.67
158,Malanje,AO,2022-01-04 21:35:38,-9.5402,16.341,63.19,99,100,1.5
159,Vitoria,BR,2022-01-04 21:35:38,-20.3194,-40.3378,78.85,85,20,10.0
160,Fortuna,US,2022-01-04 21:35:39,40.5982,-124.1573,51.66,96,90,3.0
161,Khalkoutsion,GR,2022-01-04 21:35:39,38.3333,23.7333,58.75,71,0,5.75
162,Labuhan,ID,2022-01-04 21:35:39,-6.8844,112.2051,76.53,86,100,7.81
163,Sobolevo,RU,2022-01-04 21:35:40,54.4299,31.8996,33.04,98,100,9.62
164,Kondinskoye,RU,2022-01-04 21:35:40,59.6481,67.41,0.07,94,91,10.42
165,Port Lincoln,AU,2022-01-04 21:35:40,-34.7333,135.8667,63.14,63,81,18.43
166,Tura,IN,2022-01-04 21:35:40,25.5198,90.2201,55.04,67,0,3.53
167,Sitka,US,2022-01-04 21:35:41,57.0531,-135.33,17.49,49,75,11.5
168,Hambantota,LK,2022-01-04 21:35:41,6.1241,81.1185,75.54,100,20,5.75
169,Sumbe,AO,2022-01-04 21:35:41,-11.2061,13.8437,75.13,85,100,1.97
170,Maua,BR,2022-01-04 21:35:42,-23.6678,-46.4614,75.36,89,100,8.03
171,San Quintin,MX,2022-01-04 21:35:42,30.4833,-115.95,61.66,63,71,15.7
172,Puerto Ayora,EC,2022-01-04 21:35:43,-0.7393,-90.3518,78.76,82,93,7.34
173,San Jose,US,2022-01-04 21:34:16,37.3394,-121.895,62.47,74,75,1.99
174,Ende,ID,2022-01-04 21:35:43,-8.8432,121.6623,77.36,90,100,1.32
175,Airai,TL,2022-01-04 21:35:43,-8.9266,125.4092,61.29,94,100,2.39
176,Port Hardy,CA,2022-01-04 21:34:28,50.6996,-127.4199,41.76,93,90,4.61
177,Nanortalik,GL,2022-01-04 21:35:44,60.1432,-45.2371,28.27,94,96,21.12
178,Jacareacanga,BR,2022-01-04 21:35:45,-6.2222,-57.7528,76.8,95,100,1.52
179,Berdychiv,UA,2022-01-04 21:35:46,49.8993,28.6024,42.82,89,100,17.98
180,Biltine,TD,2022-01-04 21:35:46,14.5333,20.9167,66.92,25,69,9.71
181,Victoria,HK,2022-01-04 21:33:40,22.2855,114.1577,66.38,83,96,5.99
182,Beian,NO,2022-01-04 21:35:46,63.6559,9.5683,28.0,86,75,5.75
183,Medea,DZ,2022-01-04 21:35:47,36.2642,2.7539,41.45,45,23,4.63
184,Asifabad,IN,2022-01-04 21:35:47,19.3667,79.2833,63.79,52,27,0.74
185,Castro,BR,2022-01-04 21:35:48,-24.7911,-50.0119,68.32,91,100,3.62
186,Kodiak,US,2022-01-04 21:35:48,57.79,-152.4072,33.31,80,75,9.22
187,Katherine,AU,2022-01-04 21:35:48,-14.4667,132.2667,80.92,89,74,5.75
188,Vila Velha,BR,2022-01-04 21:35:19,-20.3297,-40.2925,78.94,85,20,11.99
189,Muktsar,IN,2022-01-04 21:35:49,30.4833,74.5167,56.95,65,100,4.74
190,Maroantsetra,MG,2022-01-04 21:35:49,-15.4333,49.7333,76.6,91,60,2.66
191,Tadine,NC,2022-01-04 21:35:49,-21.55,167.8833,79.54,82,100,14.81
192,Kruisfontein,ZA,2022-01-04 21:35:50,-34.0033,24.7314,67.89,96,38,6.11
193,Kindu,CD,2022-01-04 21:35:50,-2.95,25.95,68.59,99,100,0.36
194,Egvekinot,RU,2022-01-04 21:35:50,66.3167,-179.1667,5.85,89,98,2.68
195,Viedma,AR,2022-01-04 21:35:51,-40.8135,-62.9967,68.77,30,0,10.56
196,Tornio,FI,2022-01-04 21:35:51,65.8481,24.1466,14.02,93,100,11.52
197,Kavaratti,IN,2022-01-04 21:35:51,10.5669,72.642,80.38,75,0,6.24
198,Largo,US,2022-01-04 21:33:59,27.9095,-82.7873,75.2,69,1,1.01
199,Bambanglipuro,ID,2022-01-04 21:35:52,-7.95,110.2833,75.7,82,100,1.97
200,Puri,IN,2022-01-04 21:35:52,19.8,85.85,55.92,61,18,7.54
201,Honiara,SB,2022-01-04 21:35:52,-9.4333,159.95,83.86,73,92,6.58
202,Kathmandu,NP,2022-01-04 21:35:53,27.7167,85.3167,44.82,100,20,2.3
203,San Policarpo,PH,2022-01-04 21:35:53,12.1791,125.5072,78.08,81,100,18.41
204,Novyy Urengoy,RU,2022-01-04 21:35:53,66.0833,76.6333,-8.61,94,76,16.87
205,Severo-Kurilsk,RU,2022-01-04 21:35:54,50.6789,156.125,21.02,78,74,5.26
206,Codrington,AU,2022-01-04 21:35:54,-38.2667,141.9667,61.16,94,100,21.59
207,Okha,RU,2022-01-04 21:35:54,53.5739,142.9478,-9.49,91,98,18.23
208,Kongolo,CD,2022-01-04 21:35:55,-5.3833,27.0,68.92,96,95,1.9
209,Bandundu,CD,2022-01-04 21:35:55,-3.3167,17.3667,71.38,88,100,3.13
210,Lander,US,2022-01-04 21:35:56,42.833,-108.7307,36.41,41,90,5.75
211,Otradnoye,RU,2022-01-04 21:35:56,59.7775,30.8181,32.04,99,100,6.06
212,Maltahohe,NA,2022-01-04 21:35:56,-24.8333,16.9833,69.57,24,0,15.84
213,Oboyan,RU,2022-01-04 21:35:57,51.2098,36.2792,23.72,98,100,7.76
214,Ambilobe,MG,2022-01-04 21:35:57,-13.2,49.05,76.01,92,94,2.15
215,Nikolskoye,RU,2022-01-04 21:35:57,59.7035,30.7861,31.87,99,100,5.97
216,Manavalakurichi,IN,2022-01-04 21:35:58,8.1333,77.3,80.69,78,65,9.8
217,Talnakh,RU,2022-01-04 21:35:58,69.4865,88.3972,11.21,96,100,10.69
218,Kabo,CF,2022-01-04 21:35:58,7.6994,18.629,74.75,29,70,4.81
219,Allapalli,IN,2022-01-04 21:35:59,19.4167,80.0667,59.74,59,44,2.33
220,Oyama,JP,2022-01-04 21:35:59,36.3,139.8,38.59,35,0,11.97
221,Antofagasta,CL,2022-01-04 21:35:59,-23.65,-70.4,70.88,68,1,6.33
222,Crib Point,AU,2022-01-04 21:36:00,-38.35,145.2,72.52,92,100,20.0
223,Port Alfred,ZA,2022-01-04 21:36:00,-33.5906,26.891,69.91,89,24,2.62
224,Mar Del Plata,AR,2022-01-04 21:36:02,-38.0023,-57.5575,69.82,62,20,18.01
225,Rundu,NA,2022-01-04 21:36:02,-17.9333,19.7667,71.65,68,94,3.42
226,Urumqi,CN,2022-01-04 21:36:02,43.801,87.6005,7.75,85,93,0.0
227,Elizabeth City,US,2022-01-04 21:36:02,36.2946,-76.2511,43.0,60,1,4.61
228,Fare,PF,2022-01-04 21:36:03,-16.7,-151.0167,80.58,70,29,3.53
